bodyPart,equipment,gifUrl,id,name,target
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/GQvSVvh1Q71Z_A,0023,barbell alternate biceps curl,biceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/PeAhJk7mhX5skC,0024,barbell bench front squat,quads
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/OHxOD_i5UwZDMW,0025,barbell bench press,pectorals
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/94RSqefI_hsZjf,0026,barbell bench squat,quads
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/XSJe7M9=8zu8Gy,1316,barbell bent arm pullover,lats
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/BSwgPODiFdyEqP,0027,barbell bent over row,upper back
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/7CoJlgs7YAM1Xd,2407,barbell biceps curl (with arm blaster),biceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/95TERFFvzi_BMf,0028,barbell clean and press,quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/pscOJxhcFcpIdc,0029,barbell clean-grip front squat,glutes
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/JGySP8pV0vSb0=,0030,barbell close-grip bench press,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/=Qv2wXBRmsbqo9,0031,barbell curl,biceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/WUsD=k62AvobmE,0032,barbell deadlift,glutes
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/eSIF+l21ICfrHM,0033,barbell decline bench press,pectorals
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/3aX=6AsZBOIT3G,0034,barbell decline bent arm pullover,lats
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/obk8s+2jHTOAN4,0035,barbell decline close grip to skull press,triceps
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/m325-6W2Uw_s0Y,1255,barbell decline pullover,pectorals
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/puJtNyQWRERLd7,0036,barbell decline wide-grip press,pectorals
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/OT8kMy2nhsFxcH,0037,barbell decline wide-grip pullover,lats
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/cvsci4h41YmBpj,0038,barbell drag curl,biceps
lower legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/=FKk=Q549wx9XL,1370,barbell floor calf raise,calves
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/_kA-8dgRwOB9WF,0039,barbell front chest squat,glutes
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/BcCAc7lK6QZmtn,0041,barbell front raise,delts
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/StMHH99fjI_kbD,0040,barbell front raise and pullover,pectorals
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/FlHO4C=5=MaFEb,0042,barbell front squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/OakpdFReBgZ8QI,0043,barbell full squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/fGlLSLfZrSfMqw,1461,barbell full squat (back pov),glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/E-5e+OAbdB6oJT,1462,barbell full squat (side pov),glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/REbYP+C4WBghc3,1545,barbell full zercher squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/thXZGSiHb4fgtj,1409,barbell glute bridge,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/s4wR0e181HMyG2,3562,barbell glute bridge two legs on bench (male),glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/7yXs6v65ia4B17,0044,barbell good morning,hamstrings
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/renRPaQ1Vh2fC-,0045,barbell guillotine bench press,pectorals
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/FUnozeKNygej=G,0046,barbell hack squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/jS-T=mKI38ompJ,1436,barbell high bar squat,glutes
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/eiRp5f7EaKOa+Y,0047,barbell incline bench press,pectorals
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/C7ZI7RhJr1rzBX,1719,barbell incline close grip bench press,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/gi5hgBaQ2NveRw,0048,barbell incline reverse-grip press,triceps
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/CDSnrixfWZ8EVL,0049,barbell incline row,upper back
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/=pfzbkzc+dw1MB,0050,barbell incline shoulder raise,serratus anterior
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/tKqQfpMgeUyg4W,0051,barbell jefferson squat,glutes
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/nd_Ww4Jj6cJr4X,0052,barbell jm bench press,triceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/sV3-2j5m+sZroe,0053,barbell jump squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/0ub+gW=Snsi1Tf,1410,barbell lateral lunge,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/EKhNuaU7oaeYtv,1435,barbell low bar squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/iGgXZuBLuHQiY9,0054,barbell lunge,glutes
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/1bA+iegs=PSTdc,1720,barbell lying back of the head tricep extension,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/bX78vlg5vDHZeM,0055,barbell lying close-grip press,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/IcPXfvb14ULRHk,0056,barbell lying close-grip triceps extension,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/q=nf6Z3Ku38uO_,0057,barbell lying extension,triceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/Ro2+Utsy=oiOW+,0058,barbell lying lifting (on hip),glutes
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/L9lf9jU1xZGIhX,0059,barbell lying preacher curl,biceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/BtEjR0Ll87Pwy-,0061,barbell lying triceps extension,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/aKeFeAk2M+7O+p,0060,barbell lying triceps extension skull crusher,triceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/8EpI-NAhIiTNBc,0063,barbell narrow stance squat,glutes
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/otmkNzn_D8HrPk,0064,barbell one arm bent over row,upper back
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/3zX7YklOoel91v,0065,barbell one arm floor press,triceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/N-MYC3+zBmlWfr,0066,barbell one arm side deadlift,glutes
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/O4usZfdNq3X5eH,0067,barbell one arm snatch,delts
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/PvcCQdWbaRzPtg,0068,barbell one leg squat,quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/BCaGV0W3CXeNdz,0069,barbell overhead squat,quads
lower arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/su_JESoTegbCNO,1411,barbell palms down wrist curl over a bench,forearms
lower arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/3pTeTKGtUrFJKa,1412,barbell palms up wrist curl over a bench,forearms
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/zxsRJI4q=F=-kf,3017,barbell pendlay row,upper back
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/Rwu3Vb9M2_dAEj,1751,barbell pin presses,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/TF1ygEZcC0NNWh,0070,barbell preacher curl,biceps
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/LnbuJNuZb6rJqC,0071,barbell press sit-up,abs
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/tr4ycuRcPSWgD0,0072,barbell prone incline curl,biceps
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/DES84uzpxX32n0,0073,barbell pullover,lats
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/DJp=lFluxea472,0022,barbell pullover to press,lats
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/XuUsm2Pfhsbs+R,0074,barbell rack pull,glutes
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/Emal3bhatAH_Xu,0075,barbell rear delt raise,delts
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/PBiW8ObxV-naZJ,0076,barbell rear delt row,delts
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/YXhVeiEtmwz=XH,0078,barbell rear lunge,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/1ch8pC9ViK6fHU,0077,barbell rear lunge v. 2,glutes
lower arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/8Hlb1hQHGEq=6V,0079,barbell revers wrist curl v. 2,forearms
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/eNKH6K==1EPYdf,2187,barbell reverse close-grip bench press,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/E9C9h1QY1_WATD,0080,barbell reverse curl,biceps
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/_U3FvtGO3Z7v-g,0118,barbell reverse grip bent over row,upper back
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/HC5woA2+6WYaw=,1256,barbell reverse grip decline bench press,pectorals
chest,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/ZA5YIPprvlXzOP,1257,barbell reverse grip incline bench press,pectorals
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/1jaVlRFYOl89yO,1317,barbell reverse grip incline bench row,upper back
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/U8yQn2zYnzbinK,1721,barbell reverse grip skullcrusher,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/Im0ZGyzkoDlrZN,0081,barbell reverse preacher curl,biceps
lower arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/En_cpnAljDh0_3,0082,barbell reverse wrist curl,forearms
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/=1vv7WLrG-H9ZP,0084,barbell rollerout,abs
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/IbfXBwXQDNg7di,0083,barbell rollerout from bench,abs
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/0F5nPsFoXQ3Z0z,0085,barbell romanian deadlift,glutes
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/IqkQfgyQXyXp=8,0086,barbell seated behind head military press,delts
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/KVEJO1Hau-dJ9m,0087,barbell seated bradford rocky press,delts
lower legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/IP_XezznAyyX7M,0088,barbell seated calf raise,calves
lower legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/xGjc-M1tzfCHJ_,1371,barbell seated calf raise,calves
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/+eZgB0E42MZ5JW,1718,barbell seated close grip behind neck triceps extension,triceps
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/hkczUw-KvYt9U1,0089,barbell seated close-grip concentration curl,biceps
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/TZLu_Wa=SCnPOY,0090,barbell seated good morning,glutes
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/hSvlC4LwqvktjJ,0091,barbell seated overhead press,delts
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/nqny8RWYs0rAUT,0092,barbell seated overhead triceps extension,triceps
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/BImohDh0zNRVef,0094,barbell seated twist,abs
back,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/zJlxv=F9j5WaRv,0095,barbell shrug,traps
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/FkNDskwxnrihhk,0096,barbell side bent v. 2,abs
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/DoomFuP4M7QBKO,0098,barbell side split squat,quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/iDRodDFtIVnoro,0097,barbell side split squat v. 2,quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/NaWU_biiIVZQsk,1756,barbell single leg deadlift,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/9EEq-wQULplQK0,0099,barbell single leg split squat,quads
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/wd5fnesmvMU19S,2799,barbell sitted alternate leg raise,abs
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/OkdijakH-hctbV,2800,barbell sitted alternate leg raise (female),abs
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/YS0MJMc-junAwd,0100,barbell skier,delts
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/CWPJ_nekEckpgj,0101,barbell speed squat,glutes
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/+k4kgbqNxH-dYT,2810,barbell split squat v. 2,quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/MM091Q4dne0sJ2,0102,barbell squat (on knees),quads
upper legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/6jtQ+6NRQLcYGB,2798,barbell squat jump step rear lunge,quads
waist,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/+bJ0r=IuYhJX43,0103,barbell standing ab rollerout,abs
lower arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/=K-ZHpY74qvVLt,0104,barbell standing back wrist curl,forearms
shoulders,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/EsE0hLY53FgGzt,0105,barbell standing bradford press,delts
lower legs,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/7suPVpkfKL4i+f,1372,barbell standing calf raise,calves
upper arms,barbell,https://edbv2-ff7foj6vca-uc.a.run.app/image/AC+yZUwl39vOo-,0106,barbell standing close grip curl,biceps
